frame,cpu_grayscale_ms,cpu_blur_ms,cpu_equalize_ms,cpu_morphology_ms,cpu_canny_ms,cpu_total_ms,gpu_grayscale_ms,gpu_blur_ms,gpu_equalize_ms,gpu_morphology_ms,gpu_canny_ms,gpu_total_ms,speedup
1,0.2077,0.3888,0.9285,0.6562,1.6971,3.8782,0.1078,0.0930,0.1849,6.5938,0.4491,8.0301,0.4830
2,0.0753,0.0615,0.2145,0.0933,0.2123,0.6568,0.0595,0.0460,0.0890,4.3006,0.2023,4.8742,0.1347
3,0.0988,0.0715,0.1353,0.1095,0.2116,0.6266,0.0299,0.0200,0.0607,5.8586,0.3100,6.5221,0.0961
4,0.2804,0.2128,1.5395,0.5023,0.8875,3.4224,0.1027,0.0796,0.1381,6.9776,0.3309,8.1117,0.4219
5,0.0839,0.1263,0.1335,0.1605,0.2981,0.8023,0.0811,0.0787,0.1373,6.6317,0.4947,8.0191,0.1001
6,0.0956,0.0697,0.1221,0.1074,0.1930,0.5878,0.0274,0.0213,0.0879,3.5454,0.1736,4.0234,0.1461
7,0.0629,0.0776,0.1395,0.1010,0.1847,0.5657,0.0321,0.0198,0.0877,3.3756,0.1457,3.8195,0.1481
8,0.1046,0.0621,0.1349,0.1068,0.2095,0.6179,0.0287,0.0205,0.0867,3.3823,0.2804,3.9759,0.1554
9,0.0710,0.0911,0.2797,0.1884,1.9639,2.5941,0.0944,0.0824,0.1670,5.2288,0.1718,6.1933,0.4189
10,0.2307,1.1990,0.9232,0.6920,1.4147,4.4597,0.1468,0.0961,0.1891,7.2940,0.2901,8.6166,0.5176
11,0.2739,0.3166,0.9389,0.6786,1.3084,3.5164,0.1009,0.0865,0.1757,6.6062,0.2523,7.8160,0.4499
12,0.1778,0.4175,1.0279,0.6638,1.4651,3.7521,0.1106,0.2435,0.1940,7.1251,0.3615,8.5541,0.4386
13,0.2710,0.1716,0.8251,0.6562,1.4346,3.3585,0.1108,0.0904,0.2050,6.2820,0.2455,7.5346,0.4457
14,0.1097,0.0752,0.2106,0.1515,0.2519,0.7988,0.0824,0.0686,0.1286,4.6464,0.1527,5.4250,0.1473
15,0.0922,0.0666,0.1283,0.1139,0.2296,0.6306,0.0288,0.0201,0.0859,3.4100,0.1539,3.8603,0.1634
16,0.1719,0.1920,0.8094,0.6521,1.1738,2.9992,0.1026,0.0885,0.1830,6.2522,0.3053,7.5130,0.3992
17,0.2013,0.3301,0.8494,0.9228,1.4164,3.7201,0.1271,0.1261,0.6833,7.2421,0.3851,9.4195,0.3949
18,0.1919,0.3208,0.8470,0.7201,2.7642,4.8440,0.1159,0.1018,0.2202,6.4118,0.2601,7.7194,0.6275
19,0.7933,0.8224,0.9925,0.7955,1.6978,5.1015,0.1375,0.1219,0.1963,6.9956,0.3746,8.6875,0.5872
20,0.3125,1.3450,1.1444,0.7512,1.3723,4.9253,0.1253,0.0980,0.1891,6.3681,0.2500,7.6499,0.6438
21,0.2009,0.1764,0.6486,0.6573,1.4018,3.0849,0.1072,0.0837,0.1840,6.0140,0.3290,7.4572,0.4137
22,0.2276,0.1612,0.7397,0.6664,1.3170,3.1119,0.1089,0.8107,0.1943,5.7518,0.2390,7.7839,0.3998
23,0.2833,0.5848,1.0532,0.6860,1.4634,4.0707,0.1122,0.1146,0.1865,6.7195,0.4420,8.2217,0.4951
24,0.1233,0.1481,3.1113,0.6980,1.8361,5.9170,0.1115,0.0941,0.1900,7.4063,0.4616,8.9214,0.6632
25,0.1478,0.1109,0.2959,0.5087,2.3604,3.4237,0.1097,0.1016,0.2311,6.8290,0.3846,8.3273,0.4111
26,0.0934,0.0615,0.1285,0.1059,0.1957,0.5850,0.0287,0.0207,0.0872,4.2641,0.1297,4.6951,0.1246
27,0.1779,0.1540,0.5499,0.6704,1.4245,2.9767,0.1229,0.0974,0.1962,6.3228,0.2168,7.5650,0.3935
28,0.0449,0.0844,0.2193,0.1644,0.3423,0.8552,0.0856,0.0661,0.1342,5.6354,0.1479,6.3728,0.1342
29,0.2156,0.2794,0.9450,0.6195,1.5279,3.5874,0.1260,0.0915,0.1833,6.4322,0.3872,7.7965,0.4601
30,0.2720,0.3297,0.9908,0.6844,1.1763,3.4532,0.1781,0.0896,0.1970,6.2323,0.3032,7.9622,0.4337
31,0.0579,0.0853,0.1880,0.1387,0.5452,1.0151,0.0779,0.0633,0.1227,6.2945,0.2209,7.2747,0.1395
32,0.1386,0.1023,0.2823,0.1936,0.7581,1.4749,0.1063,0.0844,0.1839,5.5195,0.1605,6.5914,0.2238
33,0.4776,0.3399,0.8362,0.6512,1.1955,3.5003,0.1144,0.0979,0.1891,6.3240,0.3507,7.7626,0.4509
34,0.5083,0.3489,0.8641,0.8958,1.4535,4.0705,0.1269,0.1265,0.2335,7.7649,0.6779,9.8738,0.4123
35,0.5761,0.3680,0.9376,0.8913,1.2444,4.0173,0.1202,0.1206,0.2238,7.9615,0.5463,9.8878,0.4063
36,0.2182,0.1471,0.6510,0.6940,1.2643,2.9746,0.1264,0.0978,0.1979,5.6080,0.1574,6.7781,0.4388
37,0.1137,0.0660,0.1427,0.1058,0.1938,0.6220,0.0278,0.0196,0.0913,3.6884,0.2937,4.2746,0.1455
38,0.5150,0.4205,0.8643,0.6402,1.3502,3.7903,0.1008,0.0876,0.2044,6.7865,0.4079,8.1907,0.4628
39,0.5071,0.3694,1.1443,0.6546,1.2918,3.9672,0.1035,0.0887,0.1726,6.8108,0.3315,8.1105,0.4891
40,0.4498,0.3256,0.8891,0.6438,1.2404,3.5487,0.1163,0.0965,0.2011,6.4506,0.2842,7.8764,0.4505
41,0.4346,0.4245,0.8800,0.6518,1.2764,3.6673,0.1028,0.0902,0.1753,6.8341,0.2334,7.9982,0.4585
42,0.2706,0.3332,0.8890,0.6602,1.3427,3.4957,0.1194,0.0857,0.1788,6.9041,0.3781,8.3098,0.4207
43,0.3057,0.2958,0.9621,0.6882,1.3741,3.6260,0.1026,0.0874,0.1766,6.9665,0.2776,8.2272,0.4407
44,0.4618,0.4856,1.1079,0.6884,1.2536,3.9974,0.1169,0.0939,0.2140,7.0730,0.3738,8.5276,0.4688
45,0.1891,1.4251,0.8878,0.7005,1.2510,4.4534,0.1021,0.0884,0.1794,6.7871,0.3219,8.0836,0.5509
46,0.1782,0.3406,0.9229,0.6617,1.4894,3.5927,0.1025,0.0888,0.1824,7.0962,0.2283,8.2942,0.4332
