frame,cpu_ms,gpu_ms
11,2.5432,5.7719
12,1.1913,5.2617
13,1.1454,9.4370
14,0.9505,7.9802
15,1.1332,8.4715
16,1.6291,7.7121
17,1.0705,8.0047
18,1.1569,8.6717
19,1.2801,7.9447
20,0.9808,7.8923
21,1.2672,8.4450
22,0.9779,8.7203
23,1.0814,8.0423
24,0.9957,8.8843
25,1.1245,5.8535
26,1.5015,6.5806
27,1.0256,6.9435
28,2.4500,6.2999
29,1.1713,6.6597
30,1.3692,7.3785
31,1.1662,6.9976
32,0.9486,7.0913
33,1.9529,22.2671
34,0.9428,6.8213
35,1.1498,6.5236
36,1.1832,7.4002
37,1.2063,6.3256
38,1.9728,6.7566
39,1.1812,7.5056
40,1.3108,6.6580
41,1.1730,6.9124
42,1.3188,7.8094
43,1.2518,6.6561
44,1.4082,6.8786
45,1.2507,7.4642
46,1.4191,6.6712
47,1.1958,6.5543
48,1.3317,7.8345
49,1.2207,8.0547
50,1.0713,7.9951
51,1.0902,8.7141
52,1.1042,7.8962
53,0.9886,7.5317
54,0.9764,8.9052
55,1.8768,8.1524
56,1.2643,7.9207
57,1.1504,8.3718
58,1.0571,7.3906
59,1.0561,7.7517
60,1.1592,6.8770
61,1.0174,7.8745
62,1.1367,8.0178
63,1.3903,6.6436
64,0.9941,9.5953
65,1.1664,7.6750
66,0.8565,8.5235
67,0.8898,6.7759
68,1.2849,6.5362
69,0.9593,5.7584
70,1.1115,6.5878
71,1.2260,6.3841
72,1.4542,5.9752
73,1.6997,6.1874
74,1.1973,6.8302
75,1.0115,5.9204
76,1.1393,6.4667
77,1.1620,6.2840
78,1.0743,5.8289
79,1.1653,6.4145
80,1.3989,6.3417
81,1.2004,6.3012
82,1.3958,6.4487
83,1.3287,6.7248
84,1.3704,6.1996
85,1.4444,6.3701
86,1.0345,7.1054
87,0.9520,6.4566
88,1.2434,6.7136
89,1.2621,6.7421
90,1.1938,5.7395
91,1.3370,8.1286
92,2.3852,7.9854
93,0.9421,6.7670
94,0.9902,8.0955
95,0.9287,7.6930
96,0.9269,7.5813
97,0.8637,7.8526
98,1.0456,7.4861
99,1.1084,6.7734
100,1.5942,7.2339
101,1.0448,7.3066
102,1.0125,5.9719
103,0.9071,7.1870
104,0.9099,7.3170
105,0.9756,5.9496
106,0.9139,8.6147
107,0.9604,7.5234
108,1.1271,7.4364
109,0.7958,6.3230
110,1.1350,5.4467
111,1.0913,5.8165
112,1.0337,6.5736
113,1.1379,5.1113
114,0.9872,6.2406
115,0.9362,6.2401
116,1.1049,4.9694
117,1.0303,5.8151
118,1.1121,6.7551
119,0.9488,5.2922
120,1.1336,5.4180
121,1.0074,6.2161
122,1.1480,4.7976
123,1.0251,5.9435
124,2.3068,6.0856
125,0.9651,5.4153
126,1.0654,6.2976
127,0.8186,11.9422
128,0.8978,5.2526
129,0.8877,5.4564
130,3.2175,6.2359
131,1.4175,5.6730
132,1.4097,5.9517
133,1.3617,7.6723
134,1.0187,6.3164
135,0.9003,7.0310
136,1.0224,8.7402
137,0.9929,6.5291
138,1.2161,6.7931
139,1.2360,7.9685
140,0.9516,5.9778
141,0.8710,6.9357
142,1.4407,8.2040
143,1.0706,6.3424
144,0.9691,6.6904
145,0.9178,7.7035
146,0.9683,6.0449
147,0.8432,6.9624
148,0.9961,8.5974
149,1.0294,6.1675
150,0.9695,6.5408
151,0.8325,5.2309
152,1.0706,5.4488
153,1.1576,4.7833
154,1.1446,4.6473
155,1.0952,4.7601
156,1.1467,5.6828
157,0.9440,4.8743
158,1.2088,5.4628
159,1.3499,6.4607
160,1.4260,7.4471
161,3.2058,6.3843
162,1.7655,7.7674
163,1.4767,7.5345
164,1.5817,6.8205
165,1.2231,6.6987
166,1.2095,7.6137
167,1.3616,6.3856
168,1.1007,7.2742
169,1.2205,5.8866
170,1.7750,7.0606
171,1.1624,6.3812
172,1.3552,7.4379
173,2.6152,6.9844
174,1.2273,6.6807
175,1.1658,8.6945
176,1.2349,7.6387
177,0.8011,8.7558
178,1.1818,7.5102
179,1.1186,7.6245
180,0.8782,7.7270
181,1.1433,7.8406
182,1.0908,7.9099
183,0.9292,7.8612
184,1.0925,7.5764
185,1.2124,7.6050
186,0.9818,8.3422
187,0.9395,8.2134
188,1.2352,7.9311
189,2.0693,7.8510
190,2.3745,7.3870
191,1.2772,7.9283
192,1.4620,7.5809
193,1.4383,6.9934
194,1.8218,5.4935
195,1.2656,6.3650
196,1.1195,4.8904
197,1.0489,5.0375
198,1.2533,4.8384
199,1.0733,5.0252
200,0.9277,4.9928
201,0.9492,4.6478
202,1.2029,6.1017
203,1.1658,6.8454
204,1.0586,6.5598
205,1.1283,6.7312
206,1.3823,6.1490
207,1.2157,5.3579
208,1.2669,6.4883
209,1.3193,5.2214
210,1.2598,5.7637
211,1.5127,5.0361
212,1.1547,4.8153
213,1.0224,4.8062
